id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,VJPgX6p5
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,L4I2FG7s
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,2aeU2keH
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,hLIom2o9
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,1mlUHqBL
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,6dp0E7nI
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,l5QzGxpw
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,hVVEa4Na
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,YR4dmCiP
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,NfaZ7Bq5
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,o85rnRDG
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,4W2hiNev
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,x7fCrhOb
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,e0MA5Vcb
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,m6rThTlY
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,zUTlzO3M
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,JntyxhS9
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,T1L4wJqe
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,q394PQdy
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,eksY6rSB
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,wKG6qCbD
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,4fEYZzGo
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,Vv09k7sv
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,bVAG9O6Q
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,N92ik3P5
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,SvQ39ai5
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,D0NyfeXp
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,ynEK45ra
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,CcWJC6rq
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,BXCOvf7N
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,ouFXER3H
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,Yx4ECh2F
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,I2tJ7VzZ
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,0bNUwF8c
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,hZzlHd6p
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,dUc5oCZc
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,zYm1LLTm
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,a2NXun4Q
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,ExgZUgM4
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,4R4S8D1a
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,kC9Z0QLM
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,yyL6Ul7f
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,AyowXpn8
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,ZsGe2p2e
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,2jSnh5ke
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,6L0ejTra
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,smyRPPf5
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,rypCQ9NG
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,vF1bT14b
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,J57yJa2Y
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,bwmN4QN2
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,JBy9Iz0h
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,DMf7pZLd
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,B20c0DRd
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,SXzllR9l
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,0WD7zl02
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,QCx7xFxu
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,z4xDrC0B
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,7L0qnTz4
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,uEDs5JAs
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,71UiDFHM
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,aK9tduIS
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,4kiFf5Oe
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,QD7YasYU
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,RfUN0UWo
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,4gBa1XFi
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,R6F0gnr1
67,Остюков Артур Романович,329,11и,3,Остюков_АР,GSCWgp5Z
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,3wwefrhZ
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,37S7IYEl
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,A3TpslDr
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,SVjMZG6M
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,fnz20mCO
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,7aTvfeTt
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,POnMQYN2
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,MqJlA4rZ
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,94XMvqR1
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,2lNUlox1
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,PPIlIP3X
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,0tXSlpBo
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,EAIU8sWz
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,Dn1kbVs5
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,5gcFT08s
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,h8IwMG3S
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,cCPx5T7r
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,4D1WY85u
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,8XcrUNwx
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,29bHjsqV
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,3OjeAQr1
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,KiRe7PKX
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,6H97yM8e
