id,Name,titleProject_id,class,score,login,password
141690829,Сербин Геннадий Михаилович,7,8в,2,,
357053601,Папандина Клавдия Яковлевна,304,9в,5,,
84181769,Белагина Галина Андреевна,396,9а,4,,
698261747,Кижняева Анна Леонидовна,178,7и,2,,
660688905,Цывин Олег Яковлевич,446,7т,2,,
721898484,Жидняева Ксения Эдуардовна,373,7х,4,,
612412612,Липковский Анатолий Иванович,144,10а,2,,
869050903,Меднова Наталья Богдановна,290,7и,5,,
731455924,Житихин Вячеслав Романович,141,9а,5,,
207840643,Шеврина Полина Максимовна,33,11а,5,,
447286185,Алпеев Валентин Данилович,323,8а,2,,
714143178,Золикова Клара Игоревна,364,10х,2,,
705120832,Дориков Дмитрий Петрович,296,10г,5,,
59632954,Корабышев Кирилл Михаилович,302,8и,5,,
59140327,Ростовиков Константин Николаевич,336,10а,2,,
839697784,Нехаев Дмитрий Фёдорович,129,7х,4,,
179556287,Зызлова Мария Николаевна,430,8г,3,,
430747099,Королупов Валерий Тимофеевич,397,10д,5,,
79625166,Стенцов Евгений Яковлевич,315,8и,4,,
977992268,Феклисов Константин Виталиевич,270,9т,None,,
718092245,Синелев Руслан Тимофеевич,300,8и,2,,
371420243,Опевалова Вера Евгеньевна,473,9д,5,,
94166924,Назерова Вероника Василевна,206,7б,5,,
350499690,Дименская Светлана Дмитриевна,387,9д,5,,
552934442,Ковторева Раиса Василевна,482,9и,2,,
602329236,Кулишнин Вячеслав Яковлевич,386,11х,5,,
300771525,Лексин Кирилл Антонович,139,7в,5,,
99289313,Лаковский Григорий Василиевич,240,7д,5,,
108959099,Барамыкова Александра Алексеевна,106,10а,3,,
939916196,Плясулина Оксана Андреевна,346,8х,2,,
652399572,Петрикеев Станислав Яковлевич,14,7и,4,,
91877022,Моторыгин Илья Георгиевич,238,10и,5,,
556641202,Рыков Тарас Павлович,174,10и,5,,
696219924,Иончикова Елизавета Егоровна,169,8д,5,,
194784163,Смолькина Алиса Егоровна,441,7г,5,,
358685710,Оболенин Герасим Павлович,472,7и,4,,
874648617,Трощинский Георгий Борисович,67,9д,3,,
158640586,Поддубская Лиза Игоревна,496,10а,4,,
198380314,Телькова Валерия Олеговна,335,7х,4,,
94758820,Чигварина Александра Алексеевна,428,10б,2,,
852874048,Киреевский Артур Игоревич,119,7в,3,,
464141895,Шумейкин Роман Павлович,420,8в,5,,
599456575,Трушинов Максим Алексиевич,82,8и,4,,
568273693,Голюков Денис Сергеевич,62,11б,4,,
858489051,Хлиманкова Надежда Валерьевна,461,10б,3,,
222923213,Кулаженков Алексей Олегович,367,10в,2,,
164643311,Бутукин Владимир Адамович,221,7х,5,,
129030356,Поддуев Леонид Олегович,149,9х,4,,
995534313,Ревцев Василий Павлович,360,9х,5,,
432815477,Старокожев Артём Юрьевич,46,8д,3,,
761212705,Светошев Максим Михаилович,321,10х,2,,
943751816,Старынина Кристина Федоровна,266,9д,3,,
790790343,Востров Дмитрий Денисович,282,9г,3,,
782643982,Бураханова Анастасия Леонидовна,16,8г,2,,
851137265,Понизов Виктор Кириллович,214,11и,5,,
556700140,Суздалев Валерий Алексеевич,66,11т,5,,
276999735,Колендин Дмитрий Алексеевич,153,10в,4,,
820733097,Сулькова Екатерина Андреевна,325,8и,4,,
740605946,Аржевитова Надежда Федоровна,242,10в,2,,
195091163,Крассов Валерий Олегович,201,8х,5,,
438610786,Сонураева Инна Андреевна,450,9т,3,,
747111603,Пашин Роман Вадимович,204,10д,2,,
188388655,Фичкина Евгения Федоровна,29,11д,3,,
5013631,Свилин Олег Виталиевич,123,8в,2,,
542055999,Рогоцкий Андрей Адамович,142,9в,2,,
930800808,Ахантьев Игорь Валериевич,80,10д,5,,
198703621,Сочиникова Ксения Кирилловна,100,10д,2,,
780820998,Остюков Артур Романович,329,11и,3,,
225703660,Брюкина Оксана Викторовна,98,8в,5,,
220306445,Кузовенков Игорь Юрьевич,322,9г,None,,
130727176,Калухов Тарас Иванович,207,11а,3,,
766188446,Батыров Пётр Виталиевич,227,7и,3,,
260639211,Озрина Катерина Валерьевна,147,10а,4,,
757206990,Декалова Полина Леонидовна,470,11д,5,,
769984312,Лосицкий Владимир Кириллович,369,9т,5,,
257009271,Магнусов Пётр Максимович,437,7и,5,,
109478484,Лавренков Михаил Василиевич,188,9б,2,,
567153360,Шушкалова Вероника Алексеевна,411,8т,5,,
976253378,Бороданова Маргарита Дмитриевна,118,7г,5,,
461830206,Циркина Виолетта Федоровна,231,9г,2,,
979628729,Болохина Екатерина Андреевна,194,11д,3,,
703574073,Чукалова Дарья Валерьевна,20,10г,4,,
750009440,Беловолов Степан Петрович,222,9д,2,,
187523098,Зудейкина Вероника Ивановна,166,8и,3,,
729349179,Макунова Мария Борисовна,47,9в,5,,
33841283,Верзанский Геннадий Андреевич,497,7д,5,,
876120911,Алтубин Ярослав Леонидович,414,10г,5,,
849532399,Аузин Игорь Алексиевич,435,8х,5,,
611193678,Калыгин Степан Тимофеевич,353,8и,2,,
256380357,Дурныгина Полина Игоревна,72,8и,2,,
11776906,Антюфеева Александра Вадимовна,347,8и,2,,
197421538,Лощинский Борис Романович,210,10б,3,,
672947923,Ходорков Евгений Виталиевич,344,9г,5,,
575827067,Кафорин Федор Данилович,427,10д,3,,
778511080,Косынская Алиса Дмитриевна,40,9в,3,,
100932883,Беремцев Артём Антонович,434,11т,2,,
51167792,Влянская Мария Андреевна,490,7т,4,,
11012069,Мыгеева Лиза Василевна,280,8в,5,,
911605064,Акутникова Мария Алексеевна,173,11в,2,,
388115834,Карябкин Константин Максимович,89,7и,2,,
899891267,Прилепина Яна Максимовна,30,10в,5,,
68020755,Ведищев Никита Георгиевич,365,7и,5,,
331489490,Самчева Вероника Борисовна,287,10г,3,,
785718231,Пирцхалова Карина Леонидовна,452,10г,5,,
426716679,Павлочев Денис Борисович,432,11д,5,,
439712473,Арашкова Екатерина Евгеньевна,356,8х,None,,
299083522,Байсарова Людмила Василевна,215,11и,2,,
67120438,Кудекина Зинаида Игоревна,250,10и,3,,
959540648,Дерналов Виталий Викторович,1,9г,4,,
431070895,Сазинова Галина Романовна,61,9и,3,,
603959005,Остаченова Марина Эдуардовна,229,9т,5,,
447108134,Битюкова Яна Егоровна,488,9и,4,,
916584627,Иваницкий Константин Борисович,232,8д,5,,
834560167,Белянский Владислав Игоревич,74,11б,5,,
592619609,Баранкин Артём Алексеевич,382,9т,2,,
